# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
ADAL; Anterior Process from Deirid Commissure A Left; AB plapaaaapp; Ring interneuron
ADAR; Anterior Process from Deirid Commissure A Right; AB prapaaaapp; Ring interneuron
ADEL; Anterior DEirid Neuron Left; AB plapaaaapa; Anterior deirid, sensory neuron
ADER; Anterior DEirid Neuron Right; AB prapaaaapa; Anterior deirid, sensory neuron
ADFL; Amphid Dual Ciliated Ending F Left; AB alpppppaa; Amphid neuron
ADFR; Amphid Dual Ciliated Ending F Right; AB praaappaa; Amphid neuron
ADLL; Amphid Dual Ciliated Ending L Left; AB alppppaad; Amphid neuron
ADLR; Amphid Dual Ciliated Ending L Right; AB praaapaad; Amphid neuron
AFDL; Amphid Finger-like Endings D Left; AB alpppapav; Amphid finger cell
AFDR; Amphid Finger-like Endings D Right ; AB praaaapav; Amphid finger cell
AIAL; Anterior Interneuron A Left; AB plppaappa; Amphid interneuron
AIAR; Anterior Interneuron A Right; AB prppaappa; Amphid interneuron
AIBL; Anterior Interneuron B Left; AB plaapappa; Amphid interneuron
AIBR; Anterior Interneuron B Right; AB praapappa; Amphid interneuron
AIML; Anterior Interneuron M Left; AB plpaapppa; Ring interneuron
AIMR; Anterior Interneuron M Right; AB prpaapppa; Ring interneuron
AINL; Anterior Interneuron N Left; AB alaaaalal; Ring interneuron
AINR; Anterior Interneuron N Right; AB alaapaaar; Ring interneuron
AIYL; Anterior Interneuron Y Left; AB plpapaaap; Amphid interneuron
AIYR; Anterior Interneuron Y Right; AB prpapaaap; Amphid interneuron
AIZL; Anterior Interneuron Z Left; AB plapaaapav; Amphid interneuron
AIZR; Anterior Interneuron Z Right; AB prapaaapav; Amphid interneuron
ALA; Anterior Lateral Neuron A; AB alapppaaa; Neuron, sends processes laterally and along dorsal cord
ALML; Anterior Lateral Microtubule Neuron Left; AB arppaappa; Anterior lateral microtubule cell
ALMR; Anterior Lateral Microtubule Neuron Right; AB arpppappa; Anterior lateral microtubule cell
ALNL; Anterior Lateral Neuron N Left; AB plapappppap; Neuron associated with ALM
ALNR; Anterior Lateral Neuron N Right ; AB prapappppap; Neuron associated with ALM
AQR; Anterior, Q-cell Derived Receptor; QR.ap; Neuron, basal body. Not part of a sensillum, projects into ring
AS1; A-type Short Motor Neuron 1; P1.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS2; A-type Short Motor Neuron 2; P2.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS3; A-type Short Motor Neuron 3; P3.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS4; A-type Short Motor Neuron 4; P4.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS5; A-type Short Motor Neuron 5; P5.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS6; A-type Short Motor Neuron 6; P6.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
AS7; A-type Short Motor Neuron 7; P7.apa; Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart
