Cell name,Type,Name details,Lineage,Classification
ADAL,Layer 3 interneuron,Anterior Process from Deirid Commissure A Left,AB plapaaaapp,Ring interneuron
ADAR,Layer 3 interneuron,Anterior Process from Deirid Commissure A Right,AB prapaaaapp,Ring interneuron
ADEL,Mechanosensory,Anterior DEirid Neuron Left,AB plapaaaapa,"Anterior deirid, sensory neuron"
ADER,Mechanosensory,Anterior DEirid Neuron Right,AB prapaaaapa,"Anterior deirid, sensory neuron"
ADFL,Amphid,Amphid Dual Ciliated Ending F Left,AB alpppppaa,Amphid neuron
ADFR,Amphid,Amphid Dual Ciliated Ending F Right,AB praaappaa,Amphid neuron
ADLL,"Amphid, nociceptive",Amphid Dual Ciliated Ending L Left,AB alppppaad,Amphid neuron
ADLR,"Amphid, nociceptive",Amphid Dual Ciliated Ending L Right,AB praaapaad,Amphid neuron
AFDL,Amphid,Amphid Finger-like Endings D Left,AB alpppapav,Amphid finger cell
AFDR,Amphid,Amphid Finger-like Endings D Right,AB praaaapav,Amphid finger cell
AIAL,Layer 3 interneuron,Anterior Interneuron A Left,AB plppaappa,Amphid interneuron
AIAR,Layer 3 interneuron,Anterior Interneuron A Right,AB prppaappa,Amphid interneuron
AIBL,Layer 2 interneuron,Anterior Interneuron B Left,AB plaapappa,Amphid interneuron
AIBR,Layer 2 interneuron,Anterior Interneuron B Right,AB praapappa,Amphid interneuron
AIML,Category 4 interneuron,Anterior Interneuron M Left,AB plpaapppa,Ring interneuron
AIMR,Category 4 interneuron,Anterior Interneuron M Right,AB prpaapppa,Ring interneuron
AINL,Category 4 interneuron,Anterior Interneuron N Left,AB alaaaalal,Ring interneuron
AINR,Category 4 interneuron,Anterior Interneuron N Right,AB alaapaaar,Ring interneuron
AIYL,Layer 3 interneuron,Anterior Interneuron Y Left,AB plpapaaap,Amphid interneuron
AIYR,Layer 3 interneuron,Anterior Interneuron Y Right,AB prpapaaap,Amphid interneuron
AIZL,Layer 3 interneuron,Anterior Interneuron Z Left,AB plapaaapav,Amphid interneuron
AIZR,Layer 3 interneuron,Anterior Interneuron Z Right,AB prapaaapav,Amphid interneuron
ALA,Layer 3 interneuron,Anterior Lateral Neuron A,AB alapppaaa,"Neuron, sends processes laterally and along dorsal cord"
ALML,Mechanosensory,Anterior Lateral Microtubule Neuron Left,AB arppaappa,Anterior lateral microtubule cell
ALMR,Mechanosensory,Anterior Lateral Microtubule Neuron Right,AB arpppappa,Anterior lateral microtubule cell
ALNL,Touch,Anterior Lateral Neuron N Left,AB plapappppap,Neuron associated with ALM
ALNR,Touch,Anterior Lateral Neuron N Right,AB prapappppap,Neuron associated with ALM
AQR,Touch,"Anterior, Q-cell Derived Receptor",QR.ap,"Neuron, basal body. Not part of a sensillum, projects into ring"
AS1,Ventral cord motor neuron,A-type Short Motor Neuron 1,P1.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS10,Ventral cord motor neuron,A-type Short Motor Neuron 10,P10.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS11,Ventral cord motor neuron,A-type Short Motor Neuron 11,P11.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS2,Ventral cord motor neuron,A-type Short Motor Neuron 2,P2.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS3,Ventral cord motor neuron,A-type Short Motor Neuron 3,P3.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS4,Ventral cord motor neuron,A-type Short Motor Neuron 4,P4.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
AS5,Ventral cord motor neuron,A-type Short Motor Neuron 5,P5.apa,"Ventral cord motor neuron, innervates dorsal muscles, no ventral counterpart"
