Source,Target,Weight,Type
M5,pm7D,8,Chemical
M5,pm6D,2,Chemical
M5,g2R,1,Chemical
M5,pm6VR,5,Chemical
M5,pm7VL,11,Chemical
M5,I5,1,Chemical
M5,g1AL,3,Chemical
M5,g1AR,1,Chemical
M5,M1,1,Chemical
M5,pm7VR,13,Chemical
M5,pm6VL,3,Chemical
M5,g2L,5,Chemical
M5,mc3V,4,Chemical
M4,pm5D,69,Chemical
M4,pm5VR,72,Chemical
M4,M4,15,Chemical
M4,I5,1,Chemical
M4,I4,4,Chemical
M4,g1AL,43,Chemical
M4,g1AR,49,Chemical
M4,pm5VL,50,Chemical
M4,g2L,3,Chemical
M4,g1P,46,Chemical
M1,pm2VL,1,Chemical
M1,pm1,4,Chemical
M1,pm5D,3,Chemical
M1,pm3VL,1,Chemical
M1,I3,6,Chemical
M1,e3VL,1,Chemical
M1,I1R,1,Chemical
M1,M5,1,Chemical
M1,M4,1,Chemical
M1,e3D,3,Chemical
M1,I2L,2,Chemical
M1,pm2D,1,Chemical
M1,pm2VR,1,Chemical
M1,g1P,4,Chemical
NSMR,bm,50,Chemical
NSMR,M3R,15,Chemical
NSMR,pm5D,1,Chemical
NSMR,pm5VR,53,Chemical
I1L,I2L,10,Chemical
I1L,pm1,3,Chemical
I1L,pm3VL,7,Chemical
I5,M5,2,Chemical
I5,NSMR,3,Chemical
I5,pm6VL,1,Chemical
I5,pm5VR,8,Chemical
I5,M3R,2,Chemical
I5,I4,7,Chemical
I5,M2L,4,Chemical
I5,M4,8,Chemical
I5,g1AR,4,Chemical
I5,pm5VL,4,Chemical
I5,g1AL,7,Chemical
I4,M2L,1,Chemical
I4,pm5VL,6,Chemical
I4,NSMR,2,Chemical
M2R,g1AR,3,Chemical
M2R,I5,3,Chemical
M2R,I4,1,Chemical
M2R,pm5VR,9,Chemical
I6,M4,3,Chemical
I6,NSML,13,Chemical
I6,NSMR,3,Chemical
I6,pm5D,14,Chemical
I6,g1P,2,Chemical
M2L,pm5VL,20,Chemical
M2L,I5,2,Chemical
M2L,I4,8,Chemical
M2L,g1AL,2,Chemical
NSML,pm5VL,58,Chemical
NSML,M3L,14,Chemical
NSML,pm5VR,3,Chemical
NSML,pm5D,29,Chemical
NSML,bm,78,Chemical
I1R,pm1,2,Chemical
I1R,pm5D,2,Chemical
I1R,I3,5,Chemical
I1R,pm3D,2,Chemical
I1R,M1,2,Chemical
I1R,pm3VR,5,Chemical
I1R,I2R,5,Chemical
MCL,mc2V,10,Chemical
I2R,e3VR,1,Chemical
I2R,pm3VR,2,Chemical
I2R,pm1,1,Chemical
M3R,g1AR,1,Chemical
M3R,bm,1,Chemical
M3R,M4,1,Chemical
M3L,pm5VL,2,Chemical
M3L,NSML,1,Chemical
I2L,e3VL,1,Chemical
I2L,pm3VL,1,Chemical
MCR,mc2V,11,Chemical
M4,M4,15,Chemical
I2R,NSML,32.5,Chemical
I2L,NSMR,25,Chemical
I4,M3R,23.5,Chemical
I2L,I4,15.5,Chemical
M3L,pm4D,18,Chemical
I2L,NSML,16,Chemical
I2R,I4,15.5,Chemical
I5,I3,10.5,Chemical
I4,NSMR,13.5,Chemical
NSML,pm5D,9,Chemical
NSMR,bm,11,Chemical
I2R,NSMR,8.5,Chemical
I1L,M3L,10,Chemical
I4,I2R,7,Chemical
MI,pm5D,6.5,Chemical
NSMR,pm5D,8.5,Chemical
NSMR,M3R,7.5,Chemical
I5,MI,7.5,Chemical
MI,M3L,5.5,Chemical
I5,NSML,5,Chemical
NSML,pm5VL,5,Chemical
MI,M1,7,Chemical
M1,NSML,5,Chemical
I4,pm5VL,4.5,Chemical
I1L,NSML,5.5,Chemical
NSML,bm,5,Chemical
M1,MI,7.5,Chemical
I4,M2L,4,Chemical
M2L,pm4VL,9,Chemical
I4,M3L,6.5,Chemical
I2R,pm5VR,4,Chemical
MI,M2L,3.5,Chemical
I3,MCL,2.5,Chemical
I1R,M2R,3.5,Chemical
I1R,MCR,4.5,Chemical
I1L,I3,2.5,Chemical
I1L,M2L,3,Chemical
MI,MCL,2.5,Chemical
MI,pm4D,7,Chemical
I5,M1,3,Chemical
I1R,pm4VR,2.5,Chemical
I1R,M3R,6,Chemical
I1L,MI,2,Chemical
NSML,I4,2,Chemical
I2R,pm4D,3,Chemical
MI,M3R,2,Chemical
M3L,pm4VL,6,Chemical
I4,pm5VR,2,Chemical
M2R,M3R,2,Chemical
I3,I5,2.5,Chemical
M2R,NSMR,1,Chemical
M2R,pm4VR,3,Chemical
M2L,pm4D,2.5,Chemical
I1L,MCL,2,Chemical
I1L,pm4VL,1.5,Chemical
I1L,MCR,2,Chemical
I2R,I1R,1,Chemical
M3R,g1AR,1.5,Chemical
