Source,Target,Weight
pm1vl,pm2vl,3
pm2vl,pm3vl,3
pm3vl,pm4vl,3
pm4vl,pm5vl,3
pm5vl,pm6vl,3
pm6vl,pm7vl,3
pm7vl,pm8,3
pm1vr,pm2vr,3
pm2vr,pm3vr,3
pm3vr,pm4vr,3
pm4vr,pm5vr,3
pm5vr,pm6vr,3
pm6vr,pm7vr,3
pm7vr,pm8,3
pm1d,pm2d,3
pm2d,pm3d,3
pm3d,pm4d,3
pm4d,pm5d,3
pm5d,pm6d,3
pm6d,pm7d,3
pm7d,pm8,3
mc1v,pm3vl,3
mc1v,pm3vr,3
mc1dl,pm3vl,3
mc1dr,pm4vr,3
mc1dl,pm3d,3
mc1dr,pm3d,3
mc1v,pm4vl,3
mc1v,pm4vr,3
mc1dl,pm4vl,3
mc1dr,pm4vr,3
mc1dl,pm4d,3
mc1dr,pm4d,3
mc2v,pm5vl,3
mc2v,pm5vr,3
mc2dl,pm5vl,3
mc2dr,pm5vr,3
mc2dl,pm5d,3
mc2dr,pm5d,3
mc3v,pm6vl,3
mc3v,pm6vr,3
mc3dl,pm6vl,3
mc3dr,pm6vr,3
mc3dl,pm6d,3
mc3dr,pm6d,3
mc3v,pm7vl,3
mc3v,pm7vr,3
mc3dl,pm7vl,3
mc3dr,pm7vr,3
mc3dl,pm7d,3
mc3dr,pm7d,3
mc3v,pm8,3
mc3dl,pm8,3
mc3dr,pm8,3
mc1dl,mc2dl,3
mc2dl,mc3dl,3
mc1dr,mc2dr,3
mc2dr,mc3dr,3
